month,qqq_sc,ivv_sc,iau_sc,p1_mode,p2_mode,gold_mode,eff_equity,gold_exp,cash_exp,monthly_ret,cum_ret,drawdown
2013-01-01,2,3,2,qqq_partial,sso,cash,1.215,0.0,-0.21500000000000008,0.05587952882705749,3.2807741991910597,-0.10016292945109817
2013-02-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.012510546124674837,3.5287531931553078,-0.03214828475489427
2013-03-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.061627200455088404,3.5305455572193107,-0.03165668261137972
2013-04-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.03868235112164298,3.689878062532128,-0.00910386614677804
2013-05-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.052581740504181074,3.819376195436112,-0.01249281005677237
2013-06-03,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.037560358213357015,4.099644357393999,-0.027713459062150142
2013-07-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.10685468369550799,3.9638171682837187,-0.059926728397857544
2013-08-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.03449478416837992,4.4255244102941615,0.0
2013-09-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.07351673880696441,4.187088155008128,-0.06030091910157331
2013-10-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.08880534213473457,4.572509450850139,-0.01008700736725954
2013-11-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.059138342293850066,4.904105883811738,-0.008653922114718311
2013-12-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.05130461041533163,5.162104353585951,-0.004162929612523771
2014-01-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.053475654607754275,5.449443266899457,-3.4363393909653224e-05
2014-02-03,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.09062653043975377,4.938661017679009,-0.09894353685674533
2014-03-03,3,3,2,qld,sso,cash,1.8,0.0,-0.8,-0.019570560292412886,5.5502871395289874,-0.013401286159708795
2014-04-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.0009392837367445672,5.6381330859446415,-0.013705369026801426
2014-05-01,3,3,1,qld,sso,cash,1.8,0.0,-0.8,0.06229016592418146,5.534030163385695,-0.03191638888450401
2014-06-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.04866892358677766,5.8646002438437295,-8.591667803257882e-06
2014-07-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.0051613464175864765,6.252004831542979,0.0
2014-08-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.08573838985139681,6.08019903871449,-0.05450803919817849
2014-09-01,3,3,1,qld,sso,cash,1.8,0.0,-0.8,-0.020763669915348726,6.642692041934413,-3.285714285723541e-05
2014-10-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.026400914033660072,6.333402130797434,-0.054536752266329716
2014-11-03,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.06727869392693275,6.353751015601719,-0.05149902904625124
2014-12-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.02743391180282395,6.644270101400208,-0.017022956446520132
2015-01-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.04659082045614327,6.573682651554311,-0.029539365110861866
2015-02-02,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.11388103799332105,6.374422714927265,-0.058955741723038316
2015-03-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.037754871153788616,7.07584315028402,0.0
2015-04-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.024213748527730727,6.66706483745975,-0.05777096865238757
2015-05-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.03024291650470956,7.029650548532347,-0.016387105208152078
2015-06-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.041587422286880504,7.119697646390757,-0.010381053737421493
2015-07-01,3,2,0,qld,ivv_partial,cash,1.215,0.0,-0.21500000000000008,0.04727715113881148,6.8572575535289815,-0.04685952530377846
2015-08-03,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.06769339912855132,7.074529231066549,-0.025791240051995862
2015-09-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,1.865094907516074e-05,6.633313675407186,-0.08654949622841082
2015-10-01,0,0,0,cash,cash,cash,0.0,0.0,1.0,1.2698480568396064e-05,6.6334242314362815,-0.0865342719430214
2015-11-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.008584985578236282,6.770356820460694,-0.06767776242940804
2015-12-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,-0.028841349241446212,6.691134693096681,-0.07858716543545115
2016-01-01,3,2,0,qld,ivv_partial,cash,1.215,0.0,-0.21500000000000008,-0.044437761093756745,6.386776247439252,-0.12049930605133273
2016-02-01,0,0,1,cash,cash,cash,0.0,0.0,1.0,0.0002480450878370455,6.1031538570015265,-0.15955595678485013
2016-03-01,0,0,3,cash,cash,iau,0.0,0.1,0.9,-0.0007374549502155991,6.099529452475404,-0.1600550608981582
2016-04-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.006375685991341529,6.18690284226961,-0.14802317595660222
2016-05-02,0,3,3,cash,sso,iau,0.9,0.1,-2.7755575615628914e-17,0.006571774365736527,6.098335515661325,-0.16021947377498863
2016-06-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.026184318525615646,6.109999444626787,-0.1586132747753908
2016-07-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.09892928629735476,5.990902214489049,-0.1750137391873862
2016-08-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.005430502745566557,6.556324966741684,-0.09715134293075454
2016-09-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.01881994570707879,6.582559861306381,-0.09353862705009847
2016-10-03,3,3,3,qld,sso,iau,1.8,0.1,-0.9,-0.033031551083103516,6.662469133029734,-0.08253459978958498
2016-11-01,3,3,2,qld,sso,cash,1.8,0.0,-0.8,0.03244526133772774,6.386365694152384,-0.12055584191335676
2016-12-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.027055207365188627,6.551318234682595,-0.09784080255009679
2017-01-02,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.06253157389398978,6.857368535592773,-0.05569568244484453
2017-02-01,3,3,0,qld,sso,cash,1.8,0.0,-0.8,0.07505488585591746,7.33474944601755,-0.007946014615312231
2017-03-01,3,3,1,qld,sso,cash,1.8,0.0,-0.8,0.01873765859254628,8.003457564863096,0.0
2017-04-03,3,3,1,qld,sso,cash,1.8,0.0,-0.8,0.03406432326010567,7.9621108630391655,-0.006446023301163103
2017-05-01,3,3,3,qld,sso,iau,1.8,0.1,-0.9,0.04559499145974821,8.322638589476682,0.0
