date,state,label,confidence,direction,spy_1m,spy_3m
2016-01-01,2,transition,1.0,neutral,-0.06705277708167112,-0.006719755741846467
2016-02-01,1,strong_bull,1.0,bullish,0.00975999113999304,0.07969447519281991
2016-03-01,1,strong_bull,1.0,bullish,0.030576800899005274,0.04803065598873246
2016-04-01,2,transition,1.0,neutral,0.009665711457347292,0.007394214148294775
2016-05-01,1,strong_bull,1.0,bullish,0.014297296370375578,0.04704902932456001
2016-06-01,1,strong_bull,1.0,bullish,-0.02840668521821066,0.04435279047446339
2016-07-01,2,transition,1.0,neutral,0.032536189055342835,0.030582977610756235
2016-08-01,1,strong_bull,1.0,bullish,0.003503035599054627,-0.01315617058654206
2016-09-01,2,transition,1.0,neutral,-0.009512007047294935,0.0013525177822062417
2016-10-01,3,exhaustion_top,1.0,bearish,-0.011835211447148053,0.044290402227058046
2016-11-01,2,transition,1.0,neutral,0.04980784389186543,0.08235752831033727
2016-12-01,3,exhaustion_top,1.0,bearish,0.03658788860230011,0.07062627261684384
2017-01-01,0,transition,1.0,neutral,0.025947171745866582,0.06688111085081294
2017-02-01,0,transition,1.0,neutral,0.040067053281581,0.02592724299671323
2017-03-01,2,transition,1.0,neutral,-0.020446138576468154,0.000999679082597904
2017-04-01,3,exhaustion_top,1.0,bearish,0.011283746980900178,0.037371561592623115
2017-05-01,1,strong_bull,1.0,bullish,0.012903840342309403,0.029042819567189904
2017-06-01,2,transition,1.0,neutral,0.004587621650138152,0.018007604435168467
2017-07-01,2,transition,1.0,neutral,0.023283291757751012,0.03461512139357925
2017-08-01,2,transition,1.0,neutral,-0.011159560236390531,0.034706996315194694
2017-09-01,0,transition,1.0,neutral,0.009990812615438438,0.047498347182239886
2017-10-01,2,transition,1.0,neutral,0.01616054888479157,0.061776242000475934
2017-11-01,0,transition,1.0,neutral,0.011145925374373533,0.08485987384982052
2017-12-01,2,transition,1.0,neutral,0.015981128473980366,0.010964244870463435
2018-01-01,2,transition,1.0,neutral,0.061604805665059326,0.030502951764438846
2018-02-01,2,transition,1.0,neutral,-0.013068942180909926,-0.054577666835280425
2018-03-01,2,transition,1.0,neutral,-0.0057087929516194125,0.023320224603406103
2018-04-01,3,exhaustion_top,1.0,bearish,0.0018241522482085326,0.056545898164010344
2018-05-01,1,strong_bull,1.0,bullish,0.02705895554366977,0.05904058247082489
2018-06-01,2,transition,1.0,neutral,-0.002852606815609726,0.035696650761910975
2018-07-01,2,transition,1.0,neutral,0.046925410594016004,0.06576227384450117
2018-08-01,2,transition,1.0,neutral,0.02367742680205609,-0.01303419219296198
2018-09-01,2,transition,1.0,neutral,0.003039012262986418,-0.058621364675431886
2018-10-01,1,strong_bull,1.0,bullish,-0.07421222148625295,-0.0903574018765575
2018-11-01,1,strong_bull,1.0,bullish,-0.021973592847542522,-0.04255652879223515
2018-12-01,0,transition,1.0,neutral,-0.09479881140876245,0.0012055391853003083
2019-01-01,1,strong_bull,1.0,bullish,0.0634601269692674,0.13055773052611697
2019-02-01,2,transition,1.0,neutral,0.034289104271779225,0.07845388736536418
2019-03-01,2,transition,1.0,neutral,0.006911718828586766,0.005980857615425217
2019-04-01,2,transition,1.0,neutral,0.021761373825170516,0.013119498455013145
2019-05-01,0,transition,1.0,neutral,-0.030944621814721462,0.03530494704606224
2019-06-01,0,transition,1.0,neutral,0.06035055980653681,0.0679434993831205
2019-07-01,1,strong_bull,1.0,bullish,0.014678950342107422,0.015524911615348191
2019-08-01,2,transition,1.0,neutral,-0.023198913462820436,0.009524694868791928
2019-09-01,1,strong_bull,1.0,bullish,0.02237751435497981,0.06181362100547694
2019-10-01,1,strong_bull,1.0,bullish,0.028509013606668354,0.08211721997292609
2019-11-01,1,strong_bull,1.0,bullish,0.025936077243815303,0.07486754466715873
2019-12-01,2,transition,1.0,neutral,0.027040964493453057,0.07880380006320631
2020-01-01,0,transition,1.0,neutral,0.02146873264734772,-0.1632385019094662
2020-02-01,2,transition,1.0,neutral,-0.031797088849502275,-0.11273836970091766
2020-03-01,3,exhaustion_top,1.0,bearish,-0.16208354890669086,-0.0438943425660725
2020-04-01,1,strong_bull,1.0,bullish,0.14958355688305192,0.2358723995739136
2020-05-01,2,transition,1.0,neutral,0.057604391016888856,0.11823386339564679
2020-06-01,2,transition,1.0,neutral,0.010317824905766049,0.10722402029448208
2020-07-01,1,strong_bull,1.0,bullish,0.03336348911193299,0.07580851921502152
2020-08-01,1,strong_bull,1.0,bullish,0.06446791803591179,0.06983587483230203
2020-09-01,0,transition,1.0,neutral,-0.06396489647952386,0.005740065663959015
2020-10-01,0,transition,1.0,neutral,0.006972553342724064,0.08681450632577814
2020-11-01,3,exhaustion_top,1.0,bearish,0.11061418584738258,0.16803116675822705
2020-12-01,2,transition,1.0,neutral,0.012438755807815394,0.0720052621008127
2021-01-01,0,transition,1.0,neutral,0.02650565288388962,0.05397446697773067
2021-02-01,1,strong_bull,1.0,bullish,0.016213526427185432,0.09719481073051739
2021-03-01,1,strong_bull,1.0,bullish,0.0035843759679443643,0.056583527690034385
2021-04-01,1,strong_bull,1.0,bullish,0.042435391247779064,0.06153157015237798
2021-05-01,1,strong_bull,1.0,bullish,0.004241677258723264,0.04880708503861331
2021-06-01,1,strong_bull,1.0,bullish,0.019862350199293166,0.06408887706831679
2021-07-01,1,strong_bull,1.0,bullish,0.024603332597121108,0.03487231939894819
2021-08-01,1,strong_bull,1.0,bullish,0.023716771253608382,-0.004414382940014505
2021-09-01,3,exhaustion_top,1.0,bearish,-0.014315699693392525,0.03755432885669463
2021-10-01,3,exhaustion_top,1.0,bearish,0.05001830890874559,0.07445214197784966
2021-11-01,0,transition,1.0,neutral,0.02043303776863392,0.013307503559979672
2021-12-01,0,transition,1.0,neutral,0.048287066032142834,-0.018851378730192825
2022-01-01,2,transition,1.0,neutral,-0.08754422423925934,-0.08282794832291684
2022-02-01,2,transition,1.0,neutral,-0.03355783789119182,-0.030466921437355743
2022-03-01,0,transition,1.0,neutral,0.05608693015604027,-0.08470434149701078
2022-04-01,3,exhaustion_top,1.0,bearish,-0.08129464478349835,-0.17203900565041907
2022-05-01,1,strong_bull,1.0,bullish,-0.0355097330437385,-0.07653778380722043
2022-06-01,0,transition,1.0,neutral,-0.043519231971498096,0.04725447983293707
2022-07-01,0,transition,1.0,neutral,0.025312317801630346,0.07798246044047508
2022-08-01,3,exhaustion_top,1.0,bearish,0.021277176228524652,-0.10540354613089309
2022-09-01,2,transition,1.0,neutral,-0.07722487239866216,0.0008149798826901922
2022-10-01,3,exhaustion_top,1.0,bearish,0.06954476365931073,0.11820365174676017
2022-11-01,2,transition,1.0,neutral,0.04631754600541238,0.0411162326652692
2022-12-01,2,transition,1.0,neutral,-0.05947413171380367,0.01756311745334793
2023-01-01,2,transition,1.0,neutral,0.05836370395564772,0.03577140714747218
2023-02-01,3,exhaustion_top,1.0,bearish,-0.03510202689926878,0.007872871662776504
2023-03-01,1,strong_bull,1.0,bullish,0.0063850267759186785,0.04666584085675196
2023-04-01,1,strong_bull,1.0,bullish,-0.012286711733642375,0.06661124895820669
2023-05-01,1,strong_bull,1.0,bullish,-0.0020698033331931764,0.0859663304155307
2023-06-01,0,transition,1.0,neutral,0.026605302701270928,0.06627124820401309
2023-07-01,2,transition,1.0,neutral,0.027589699953691538,0.007286632219516198
2023-08-01,0,transition,1.0,neutral,-0.03616813334828395,-0.04664033699761483
2023-09-01,1,strong_bull,1.0,bullish,-0.05276673156092937,-0.02093878125815596
2023-10-01,2,transition,1.0,neutral,-0.02322909729614997,0.10063624594124931
2023-11-01,0,transition,1.0,neutral,0.077225110999672,0.1323821374331029
2023-12-01,0,transition,1.0,neutral,0.04213003672122384,0.08055578758061954
2024-01-01,2,transition,1.0,neutral,0.02676150000461819,0.08339827231092589
2024-02-01,0,transition,1.0,neutral,0.03432116855695666,0.0475003172918278
2024-03-01,2,transition,1.0,neutral,0.014764490139519637,0.01887204536549847
2024-04-01,0,transition,1.0,neutral,-0.03575524133360064,0.03885798175138189
2024-05-01,0,transition,1.0,neutral,0.0581394448008401,0.12280734417714623
2024-06-01,0,transition,1.0,neutral,0.03773414683446452,0.031132956220669694
2024-07-01,1,strong_bull,1.0,bullish,-0.012707541754616636,0.016650193715731954
2024-08-01,2,transition,1.0,neutral,0.032743428137216535,0.07062071970033013
2024-09-01,1,strong_bull,1.0,bullish,0.01438463239358767,0.06269817578772807
2024-10-01,2,transition,1.0,neutral,0.01832509929792181,0.06280123720315522
2024-11-01,1,strong_bull,1.0,bullish,0.051852716607592164,0.02155146995943724
2024-12-01,2,transition,1.0,neutral,0.0012840291438425133,0.004714396572292889
2025-01-01,0,transition,1.0,neutral,0.03734968094145241,-0.03970455890596902
2025-02-01,2,transition,1.0,neutral,-0.012096740173861531,-0.1239220596693359
2025-03-01,1,strong_bull,1.0,bullish,-0.04018916101821557,-0.008116220289487774
2025-04-01,1,strong_bull,1.0,bullish,-0.01841436418791509,0.07626069343710329
2025-05-01,2,transition,1.0,neutral,0.03695810538487132,0.11995916549030716
2025-06-01,2,transition,1.0,neutral,0.03312715601623184,0.09739982373745715
2025-07-01,2,transition,1.0,neutral,0.03149017227028761,0.0647292172257532
2025-08-01,2,transition,1.0,neutral,0.03770187568343819,0.06941746443399066
2025-09-01,1,strong_bull,1.0,bullish,0.022981773461204558,0.044730199380530244
2025-10-01,1,strong_bull,1.0,bullish,0.013164793949023146,0.019911793318529325
2025-11-01,1,strong_bull,1.0,bullish,-0.0034893261556098176,0.01515992159905677
2025-12-01,1,strong_bull,1.0,bullish,0.01775737112043929,0.004429349493432877
2026-01-01,0,transition,1.0,neutral,0.015852239622019093,-0.028786370455678778
2026-02-01,2,transition,1.0,neutral,0.0017054121229842512,
2026-03-01,1,strong_bull,1.0,bullish,,
